architecture,checkpoint_state,budget_tier,m,n_train,ridge_setting,ridge_value,target,test_nmse_median,test_nmse_mean,split_count,source_file
MC-EGNN,matched-compute-LOW,LOW,1024,512,rho_1e-06,1e-06,common,0.05089684120880285,0.05323856412695562,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,512,rho_1e-08,1e-08,common,0.051288183210267305,0.05339293886742462,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,512,ridgeless,0.0,common,0.051226745648792496,0.05327072360123971,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,32,rho_0.0001,0.0001,common,0.4872919396372262,0.46413757202617417,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,32,rho_0.01,0.01,common,0.5191623643662677,0.49820194476115265,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,32,rho_0.1,0.1,common,0.6328055980161953,0.6141482500162758,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,32,rho_1e-06,1e-06,common,0.49016095332904674,0.46426287835414415,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,32,rho_1e-08,1e-08,common,0.48955332307394855,0.4643022712582893,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,32,ridgeless,0.0,common,0.4904682926313335,0.46442549451212506,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,64,rho_0.0001,0.0001,common,0.2701479283705289,0.29958500600990734,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,64,rho_0.01,0.01,common,0.2887780505144028,0.329914308445153,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,64,rho_0.1,0.1,common,0.414235754795987,0.4353700562756323,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,64,rho_1e-06,1e-06,common,0.2821038839148788,0.3003950459458958,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,64,rho_1e-08,1e-08,common,0.2832360657555206,0.3008247195743506,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,64,ridgeless,0.0,common,0.283249454118151,0.30090496103473663,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
