architecture,checkpoint_state,budget_tier,m,n_train,ridge_setting,ridge_value,target,test_nmse_median,test_nmse_mean,split_count,source_file
eSEN,dense-grid-CROSS,CROSS,1024,512,rho_0.1,0.1,common,0.008343044657918595,0.010866661212427629,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,512,rho_1e-06,1e-06,common,0.00689518585181121,0.0081726532383526,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,512,rho_1e-08,1e-08,common,0.006895897495513758,0.008180958143824482,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,512,ridgeless,0.0,common,0.006895926311209917,0.008181150944972628,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,32,rho_0.0001,0.0001,common,0.05492001957857988,0.058527869335557245,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,32,rho_0.01,0.01,common,0.05951905326892937,0.06694453346644294,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,32,rho_0.1,0.1,common,0.08410149014069965,0.09782303135085145,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,32,rho_1e-06,1e-06,common,0.0549886085524868,0.05828544736641528,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,32,rho_1e-08,1e-08,common,0.05498967260343662,0.058354489974130265,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,32,ridgeless,0.0,common,0.054989683404336895,0.05836913232854517,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,64,rho_0.0001,0.0001,common,0.012346648579022644,0.017507557241204435,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,64,rho_0.01,0.01,common,0.013657957873222625,0.019507198846426765,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,64,rho_0.1,0.1,common,0.018866228676730212,0.02750028645092627,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,64,rho_1e-06,1e-06,common,0.012296179903211937,0.017402093247951098,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,64,rho_1e-08,1e-08,common,0.012295485339608236,0.01746301459458795,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,64,ridgeless,0.0,common,0.012295478285229648,0.017512882057347405,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,128,rho_0.0001,0.0001,common,0.007556388112530448,0.00817156368516317,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,128,rho_0.01,0.01,common,0.0073384740313069755,0.008692187352628826,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,128,rho_0.1,0.1,common,0.008564327204365941,0.010863575968322456,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,128,rho_1e-06,1e-06,common,0.007423132964604328,0.00813614022381447,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,128,rho_1e-08,1e-08,common,0.007421221573220455,0.008129111487277785,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,128,ridgeless,0.0,common,0.007421201367514316,0.008141398314567401,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,256,rho_0.0001,0.0001,common,0.005797524104470347,0.005832814539387244,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,256,rho_0.01,0.01,common,0.00535799437149855,0.005650701385909735,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,256,rho_0.1,0.1,common,0.005592803628543985,0.006095191789484527,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,256,rho_1e-06,1e-06,common,0.005807399928474732,0.005864371584783839,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
