tag,domain,M,alpha,P_bal,L_baseline,L_int,delta,delta_ci_lo,delta_ci_hi,loss_multiplier,source_file
w16/150k,OOD,2048,1.0,0.0,0.010423880764278793,0.010423880857285565,8.922470762229295e-09,-7.621097353194273e-09,2.665907248289297e-08,1.0000000089224708,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,2048,0.75,0.021759312486227894,0.010423880764278793,0.011701281409473907,0.11559895680320675,0.10646264454043017,0.12459149285374456,1.1225455925755206,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,2048,0.5,0.04351862497245579,0.010423880764278793,0.014248865933995016,0.31257791878777574,0.2902049534069405,0.33342589680138285,1.3669444476786334,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,2048,0.25,0.06527793745868368,0.010423880764278793,0.017345348144988396,0.5092249508175737,0.4760006741724751,0.5397491492838619,1.6640010124087865,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,2048,0.0,0.08703724994491158,0.010423880764278793,0.020720201494116654,0.6870097407828828,0.6456850083829232,0.7243996299052191,1.9877627116689525,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,4096,1.0,0.0,0.010997525433061301,0.010997525400284461,-2.980383939643616e-09,-1.391735180433784e-08,8.697832742932097e-09,0.9999999970196161,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,4096,0.75,0.021759312486227894,0.010997525433061301,0.012278526863317296,0.11018166639222748,0.10387188718411693,0.11670213839150116,1.1164808790898526,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,4096,0.5,0.04351862497245579,0.010997525433061301,0.014834034772708353,0.2992539005736523,0.2842543966055582,0.3149922771238004,1.3488520543097395,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,4096,0.25,0.06527793745868368,0.010997525433061301,0.017940896218842615,0.4894125249799508,0.466821988690667,0.5124082619752958,1.6313575565743004,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,4096,0.0,0.08703724994491158,0.010997525433061301,0.021327296477815158,0.6623174901832893,0.6345609820404045,0.6909647498739092,1.9392813963130275,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,8192,1.0,0.0,0.010908807261979977,0.01090880719679974,-5.975010708425543e-09,-1.4482688781569663e-08,2.1238134362278057e-09,0.9999999940249893,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,8192,0.75,0.021759312486227894,0.010908807261979977,0.012191786444160925,0.11119201406749113,0.1069661508300728,0.11560489286716584,1.1176094829956769,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
