l4_id,l4_width,l4_step,l4_flops,l4_force_loss_neutral,l2_id,l2_width,l2_step,l2_flops,l2_force_loss_neutral,compute_ratio_l2_over_l4,log10_compute_difference,matching_rule,valid_match,l2_is_frontier_owner,l4_is_beyond_C_common_max
esen_lmax4_w16_s25500,16,25500,1.9100585756735544e+16,0.0079845704289376,esen_lmax2_w16_s100000,16,100000,1.861018557324341e+16,0.005175119704555,0.9743253851092392,-0.01129598217845379,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w8_s50000,8,50000,1.9104789619204656e+16,0.0070184656575738,esen_lmax2_w16_s100000,16,100000,1.861018557324341e+16,0.005175119704555,0.9741109922789174,-0.011391555864743656,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w4_s100000,4,100000,2.029522048725557e+16,0.0065441228689703,esen_lmax2_w12_s150000,12,150000,2.1403230903730572e+16,0.005043996951753,1.0545946478960788,0.023085562941683044,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s32000,16,32000,2.397277065207738e+16,0.0065193492958863,esen_lmax2_w16_s125000,16,125000,2.3263386531130812e+16,0.0044114082778387,0.9704087553649083,-0.013045293768118466,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w10_s50000,10,50000,2.3989785957410084e+16,0.006056270889016389,esen_lmax2_w16_s125000,16,125000,2.3263386531130812e+16,0.0044114082778387,0.9697204707216281,-0.013353436371277463,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s35000,16,35000,2.6221289245616908e+16,0.0059836699714584,esen_lmax2_w48_s50000,48,50000,2.6669169119187452e+16,0.0040504945724784,1.0170807723973911,0.007355444184813962,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s35500,16,35500,2.6595572098142132e+16,0.0059007574594687,esen_lmax2_w48_s50000,48,50000,2.6669169119187452e+16,0.0040504945724784,1.0027672659483968,0.0012001485310790098,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s36000,16,36000,2.697055426929972e+16,0.0058186695472483,esen_lmax2_w48_s50000,48,50000,2.6669169119187452e+16,0.0040504945724784,0.9888254002085775,-0.004880386279588941,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s36500,16,36500,2.734263024856361e+16,0.0057418877943811,esen_lmax2_w16_s150000,16,150000,2.7915023255225744e+16,0.0039370310441125,1.0209340872278447,0.00899770440104862,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s37000,16,37000,2.771943203124298e+16,0.0056666454807618,esen_lmax2_w16_s150000,16,150000,2.7915023255225744e+16,0.0039370310441125,1.0070561050371563,0.0030536666105096723,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
