arch,width,step,seed,run_id,run_name,C_flops,used_in_valid_pair,checkpoint_path
lmax4,16,100000,1,9721383,esen-sphere-16-neutral-epoch,7.49101513650794e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch/esen/run_9721383_params_1.7_million/dim_32_step_step=100000.ckpt
lmax4,8,200000,1,9897808,esen-sphere-8-neutral-epoch,7.641793366393638e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-8-neutral-epoch/esen/run_9897808_params_878.4_thousand/dim_32_step_step=200000.ckpt
lmax4,8,225000,1,9897808,esen-sphere-8-neutral-epoch,8.59688829915249e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-8-neutral-epoch/esen/run_9897808_params_878.4_thousand/dim_32_step_step=225000.ckpt
lmax4,20,100000,1,9741258,esen-sphere-20-neutral-epoch,9.326483661891688e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-20-neutral-epoch/esen/run_9741258_params_2.1_million/dim_32_step_step=100000.ckpt
lmax4,8,275000,1,9897808,esen-sphere-8-neutral-epoch,1.0506711183747755e+17,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-8-neutral-epoch/esen/run_9897808_params_878.4_thousand/dim_32_step_step=275000.ckpt
lmax4,24,100000,1,9721434,esen-sphere-24-neutral-epoch,1.1162431122242088e+17,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-24-neutral-epoch/esen/run_9721434_params_2.6_million/dim_32_step_step=100000.ckpt
lmax4,16,150000,1,9721383,esen-sphere-16-neutral-epoch,1.1268708929342485e+17,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch/esen/run_9721383_params_1.7_million/dim_32_step_step=150000.ckpt
lmax4,8,325000,1,9897808,esen-sphere-8-neutral-epoch,1.2416129743413701e+17,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-8-neutral-epoch/esen/run_9897808_params_878.4_thousand/dim_32_step_step=325000.ckpt
lmax4,8,350000,1,9897808,esen-sphere-8-neutral-epoch,1.3371016065583917e+17,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-8-neutral-epoch/esen/run_9897808_params_878.4_thousand/dim_32_step_step=350000.ckpt
lmax4,40,75000,1,9928671,esen-sphere-40-neutral-epoch,1.3880051447755456e+17,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-40-neutral-epoch/esen/run_9928671_params_4.3_million/dim_32_step_step=75000.ckpt
lmax4,20,150000,1,9741258,esen-sphere-20-neutral-epoch,1.3989470006137322e+17,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-20-neutral-epoch/esen/run_9741258_params_2.1_million/dim_32_step_step=150000.ckpt
lmax4,16,200000,1,9721383,esen-sphere-16-neutral-epoch,1.498236631766153e+17,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch/esen/run_9721383_params_1.7_million/dim_32_step_step=200000.ckpt
lmax4,24,150000,1,9721434,esen-sphere-24-neutral-epoch,1.6738703951052822e+17,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-24-neutral-epoch/esen/run_9721434_params_2.6_million/dim_32_step_step=150000.ckpt
lmax4,40,100000,1,9928671,esen-sphere-40-neutral-epoch,1.850320987719538e+17,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-40-neutral-epoch/esen/run_9928671_params_4.3_million/dim_32_step_step=100000.ckpt
lmax4,20,200000,1,9741258,esen-sphere-20-neutral-epoch,1.8649009486112646e+17,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-20-neutral-epoch/esen/run_9741258_params_2.1_million/dim_32_step_step=200000.ckpt
lmax4,32,150000,1,9736067,esen-sphere-32-neutral-epoch,2.22413105528992e+17,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-32-neutral-epoch/esen/run_9736067_params_3.4_million/dim_32_step_step=150000.ckpt
lmax4,24,200000,1,9721434,esen-sphere-24-neutral-epoch,2.231428238179048e+17,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-24-neutral-epoch/esen/run_9721434_params_2.6_million/dim_32_step_step=200000.ckpt
lmax4,40,125000,1,9928671,esen-sphere-40-neutral-epoch,2.3129663148480614e+17,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-40-neutral-epoch/esen/run_9928671_params_4.3_million/dim_32_step_step=125000.ckpt
